station_number,state_code,state_name,country
8109,WA,West Australia,Australia
8110,WA,West Australia,Australia
8111,WA,West Australia,Australia
8112,WA,West Australia,Australia
8113,WA,West Australia,Australia
8114,WA,West Australia,Australia
8115,WA,West Australia,Australia
8116,WA,West Australia,Australia
8117,WA,West Australia,Australia
8118,WA,West Australia,Australia
8119,WA,West Australia,Australia
8120,WA,West Australia,Australia
8121,WA,West Australia,Australia
8122,WA,West Australia,Australia
8123,WA,West Australia,Australia
8124,WA,West Australia,Australia
8125,WA,West Australia,Australia
8126,WA,West Australia,Australia
8127,WA,West Australia,Australia
8128,WA,West Australia,Australia
8129,WA,West Australia,Australia
8130,WA,West Australia,Australia
8131,WA,West Australia,Australia
8132,WA,West Australia,Australia
8133,WA,West Australia,Australia
8134,WA,West Australia,Australia
8135,WA,West Australia,Australia
8136,WA,West Australia,Australia
8137,WA,West Australia,Australia
8138,WA,West Australia,Australia
8139,WA,West Australia,Australia
8140,WA,West Australia,Australia
8141,WA,West Australia,Australia
8142,WA,West Australia,Australia
8143,WA,West Australia,Australia
8144,WA,West Australia,Australia
8145,WA,West Australia,Australia
8146,WA,West Australia,Australia
8147,WA,West Australia,Australia
8148,WA,West Australia,Australia
8149,WA,West Australia,Australia
8150,WA,West Australia,Australia
8151,WA,West Australia,Australia
8152,WA,West Australia,Australia
8153,WA,West Australia,Australia
8154,WA,West Australia,Australia
8155,WA,West Australia,Australia
8156,WA,West Australia,Australia
8157,WA,West Australia,Australia
8158,WA,West Australia,Australia
8159,WA,West Australia,Australia
8160,WA,West Australia,Australia
8161,WA,West Australia,Australia
8162,WA,West Australia,Australia
8163,WA,West Australia,Australia
8164,WA,West Australia,Australia
8165,WA,West Australia,Australia
8166,WA,West Australia,Australia
8167,WA,West Australia,Australia
8168,WA,West Australia,Australia
8169,WA,West Australia,Australia
8170,WA,West Australia,Australia
