station_number,lat,long,station_name,year,tmean
009518,-34.37,115.13,CAPE LEEUWIN,1948,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1949,17.3
009518,-34.37,115.13,CAPE LEEUWIN,1950,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1951,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1952,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1953,16.4
009518,-34.37,115.13,CAPE LEEUWIN,1954,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1955,16.2
009518,-34.37,115.13,CAPE LEEUWIN,1956,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1957,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1958,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1959,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1960,16.0
009518,-34.37,115.13,CAPE LEEUWIN,1961,17.3
009518,-34.37,115.13,CAPE LEEUWIN,1962,17.3
009518,-34.37,115.13,CAPE LEEUWIN,1963,17.1
009518,-34.37,115.13,CAPE LEEUWIN,1964,16.2
009518,-34.37,115.13,CAPE LEEUWIN,1965,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1966,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1967,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1968,15.9
009518,-34.37,115.13,CAPE LEEUWIN,1969,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1970,16.6
009518,-34.37,115.13,CAPE LEEUWIN,1971,16.0
009518,-34.37,115.13,CAPE LEEUWIN,1972,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1973,16.3
009518,-34.37,115.13,CAPE LEEUWIN,1974,16.7
009518,-34.37,115.13,CAPE LEEUWIN,1975,16.9
009518,-34.37,115.13,CAPE LEEUWIN,1976,17.2
009518,-34.37,115.13,CAPE LEEUWIN,1977,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1978,17.3
009518,-34.37,115.13,CAPE LEEUWIN,1979,17.1
009518,-34.37,115.13,CAPE LEEUWIN,1980,16.8
009518,-34.37,115.13,CAPE LEEUWIN,1981,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1982,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1983,17.8
009518,-34.37,115.13,CAPE LEEUWIN,1984,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1985,17.6
009518,-34.37,115.13,CAPE LEEUWIN,1986,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1987,17.0
009518,-34.37,115.13,CAPE LEEUWIN,1988,17.4
009518,-34.37,115.13,CAPE LEEUWIN,1989,17.5
009518,-34.37,115.13,CAPE LEEUWIN,1990,16.9
009518,-34.37,115.13,CAPE LEEUWIN,1991,17.3
009518,-34.37,115.13,CAPE LEEUWIN,1992,17.1
009518,-34.37,115.13,CAPE LEEUWIN,1993,16.5
009518,-34.37,115.13,CAPE LEEUWIN,1994,17.5
009518,-34.37,115.13,CAPE LEEUWIN,1995,17.2
009518,-34.37,115.13,CAPE LEEUWIN,1996,17.7
009518,-34.37,115.13,CAPE LEEUWIN,1997,17.4
009518,-34.37,115.13,CAPE LEEUWIN,1998,17.2
009518,-34.37,115.13,CAPE LEEUWIN,1999,17.6
009518,-34.37,115.13,CAPE LEEUWIN,2000,17.5
009518,-34.37,115.13,CAPE LEEUWIN,2001,17.0
009518,-34.37,115.13,CAPE LEEUWIN,2002,17.0
009518,-34.37,115.13,CAPE LEEUWIN,2003,17.3
009518,-34.37,115.13,CAPE LEEUWIN,2004,17.1
009518,-34.37,115.13,CAPE LEEUWIN,2005,16.8
009518,-34.37,115.13,CAPE LEEUWIN,2006,17.3
009518,-34.37,115.13,CAPE LEEUWIN,2007,17.3
009518,-34.37,115.13,CAPE LEEUWIN,2008,17.3
009518,-34.37,115.13,CAPE LEEUWIN,2009,17.4
009518,-34.37,115.13,CAPE LEEUWIN,2010,17.6
009518,-34.37,115.13,CAPE LEEUWIN,2011,18.3
009518,-34.37,115.13,CAPE LEEUWIN,2012,18.1
022801,-35.75,136.59,CAPE BORDA,1925,14.1
022801,-35.75,136.59,CAPE BORDA,1926,14.3
022801,-35.75,136.59,CAPE BORDA,1927,14.0
022801,-35.75,136.59,CAPE BORDA,1928,14.3
022801,-35.75,136.59,CAPE BORDA,1929,13.9
022801,-35.75,136.59,CAPE BORDA,1930,15.1
022801,-35.75,136.59,CAPE BORDA,1931,13.9
022801,-35.75,136.59,CAPE BORDA,1932,14.3
022801,-35.75,136.59,CAPE BORDA,1933,14.0
022801,-35.75,136.59,CAPE BORDA,1934,14.9
022801,-35.75,136.59,CAPE BORDA,1935,14.3
022801,-35.75,136.59,CAPE BORDA,1936,14.3
022801,-35.75,136.59,CAPE BORDA,1937,14.6
022801,-35.75,136.59,CAPE BORDA,1938,14.4
022801,-35.75,136.59,CAPE BORDA,1939,14.9
022801,-35.75,136.59,CAPE BORDA,1940,14.3
022801,-35.75,136.59,CAPE BORDA,1941,14.1
022801,-35.75,136.59,CAPE BORDA,1942,14.1
022801,-35.75,136.59,CAPE BORDA,1943,13.7
022801,-35.75,136.59,CAPE BORDA,1944,14.0
022801,-35.75,136.59,CAPE BORDA,1945,14.1
